ID,description,prise,region,promo_price,url
3244532,Конструктор LEGO City Исследовательская подводная лодка 60264,1549,"['RU-MOW', 'RU-SPE']",2499,https://www.detmir.ru/product/index/id/3244532/
3596836,Конструктор LEGO Dots Большой набор Летнее настроение 41937,1529,"['RU-MOW', 'RU-SPE']",2599,https://www.detmir.ru/product/index/id/3596836/
3597018,Конструктор LEGO Ninjago Водный дракон 71754,3939,"['RU-MOW', 'RU-SPE']",6499,https://www.detmir.ru/product/index/id/3597018/
3176040,Конструктор LEGO DUPLO Town Животные мира 10907,8499,['RU-MOW'],8999,https://www.detmir.ru/product/index/id/3176040/
3596969,Конструктор LEGO Super Mario Летучий корабль Боузера 71391,5629,"['RU-MOW', 'RU-SPE']",8999,https://www.detmir.ru/product/index/id/3596969/
3596782,Конструктор LEGO Friends Школа Хартлейк Сити 41682,3709,"['RU-MOW', 'RU-SPE']",6499,https://www.detmir.ru/product/index/id/3596782/
3226630,Конструктор LEGO Technic Шоу трюков на грузовиках и мотоциклах 42106,2819,"['RU-MOW', 'RU-SPE']",4699,https://www.detmir.ru/product/index/id/3226630/
3597036,Конструктор LEGO Speed Champions Koenigsegg Jesko 76900,1349,"['RU-MOW', 'RU-SPE']",1799,https://www.detmir.ru/product/index/id/3597036/
3244517,Конструктор LEGO Friends Модный бутик Эммы 41427,1609,"['RU-MOW', 'RU-SPE']",2599,https://www.detmir.ru/product/index/id/3244517/
3226681,Конструктор LEGO City Great Vehicles Транспортировщик скоростных катеров 60254,1519,"['RU-MOW', 'RU-SPE']",2499,https://www.detmir.ru/product/index/id/3226681/
3405605,Конструктор LEGO DC Super Heroes Капитан Америка Робот 76168,649,"['RU-MOW', 'RU-SPE']",999,https://www.detmir.ru/product/index/id/3405605/
3226632,Конструктор LEGO Technic Гоночный автомобиль Top Gear 42109,7479,"['RU-MOW', 'RU-SPE']",12499,https://www.detmir.ru/product/index/id/3226632/
3405527,Конструктор LEGO DUPLO My First Поезд для животных 10955,949,"['RU-MOW', 'RU-SPE']",1599,https://www.detmir.ru/product/index/id/3405527/
3596758,Конструктор LEGO DUPLO My First Поезд с цифрами-учимся считать 10954,909,"['RU-MOW', 'RU-SPE']",1499,https://www.detmir.ru/product/index/id/3596758/
